"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-15 00:00:00.000,174,yandex,cpc,prof-frontend,69171,10,1,237990
2023-06-30 00:00:00.000,38,yandex,cpc,base-frontend,8231,1,1,201150
2023-06-20 00:00:00.000,19,vk,cpc,freemium-frontend,2851,5,1,189210
2023-06-19 00:00:00.000,243,yandex,cpc,freemium,17212,4,2,188991
2023-06-14 00:00:00.000,174,yandex,cpc,prof-frontend,70624,9,1,180306
2023-06-15 00:00:00.000,17,vk,cpc,prof-python,5837,10,1,178800
2023-06-15 00:00:00.000,8,vk,cpc,prof-java,4264,2,1,178800
2023-06-11 00:00:00.000,1,yandex,cpc,prof-frontend,43610,1,1,167625
2023-06-26 00:00:00.000,58,yandex,cpc,base-python,7940,1,1,160920
2023-06-26 00:00:00.000,191,yandex,cpc,prof-python,41547,4,3,151192
2023-06-26 00:00:00.000,21,vk,cpc,prof-java,7992,2,1,151192
2023-06-03 00:00:00.000,1,yandex,cpc,dod-php,4892,1,1,150255
2023-06-11 00:00:00.000,1,yandex,cpc,prof-data-analytics,4036,1,1,144244
2023-06-09 00:00:00.000,125,vk,cpc,freemium-python,2533,3,1,134100
2023-06-09 00:00:00.000,3,yandex,cpc,prof-python,44098,3,1,134100
